id|name|age|country|value
26684|Derek Owusu Boateng|40|Ghana|-
26496|Daniel Alberto Díaz|44|Argentina|-
26425|Juan Ángel Albín Leites|37|Uruguay|-
26217|Ángel Javier Arizmendi de Lucas|39|Spain|-
25876|Pierre Achille Webó Kouamo|41|Cameroon|-
8675|Jonathan de Guzmán|36|Netherlands|€300k
25992|José Carlos de Araújo Nunes|46|Portugal|-
26737|Pablo Cendrós López|36|Spain|-
13581|Emilio Nsue López|34|Equatorial Guinea|€250k
26068|Rubén González Rocha|41|Spain|-
26675|João Victor de Albuquerque Bruno|35|Brazil|€300k
6740|Gonzalo Castro Irizábal|39|Uruguay|€25k
26146|Dudú Aouate|46|Israel|-
26147|Ayoze Díaz Díaz|41|Spain|-
26671|Michaël Pereira|36|France|€100k
26735|Akihiro Ienaga|37|Japan|€350k
24073|Sergio Tejera Rodríguez|33|Spain|€500k
3486|Fernando Llorente Torres|38|Spain|-
26479|Koikili Lertxundi Del Campo|42|Spain|-
26736|Borja Ekiza Imaz|35|Spain|-
26034|Igor Gabilondo del Campo|44|Spain|-
9399|Javier Martínez Aginaga|35|Spain|€1.50m
26031|Andoni Iraola Sagarna|41|Spain|-
25869|David López Moreno|41|Spain|-
26191|Joseba Llorente Etxarri|44|Spain|-
26763|Jeffrey Sarpong|35|Netherlands|€150k
16453|Gary Alexis Medel Soto|36|Chile|€700k
6821|Jesús Navas González|38|Spain|€3.00m
25872|Valmiro Lópes Rocha|42|Cape Verde|-
7781|Felipe Salvador Caicedo Corozo|35|Ecuador|€400k
25927|Francisco Sebastián Nadal Martorell|37|Spain|-
26444|Sergio Martínez Ballesteros|48|Spain|-
26131|Victoriano Rivas Álvaro|43|Spain|-
25937|Javier Rodríguez Venta|48|Spain|-
26221|Gustavo Adolfo Munúa Vera|45|Uruguay|-
26724|Gorka Larrea García|39|Spain|-
26676|Fernando Ezequiel Cavenaghi|40|Argentina|-
26674|Edson Ramos de Silva|30|-|€0
26673|Kevin Martín García Martínez|30|-|€0
6778|Iván Ramis Barrios|39|Spain|-
26672|Martí Crespí Pascual|36|Spain|€50k
26751|Matías Lionel Fritzler|37|Argentina|-
25994|David Cortés Caballero|44|Spain|-
19311|David Sergio Trézéguet|46|France|-
6192|Abel Enrique Aguilar Tapia|38|Colombia|-
26750|Tiago Filipe Figueiras Gomes|38|Portugal|-
26749|Abraham Paz Cruz|44|Spain|-
25900|Francisco Peña Romero|45|Spain|-
21568|Royston Ricky Drenthe|36|Netherlands|-
26748|Nelson Antonio Haedo Valdez|40|Paraguay|-
25870|Juan Jesús Calatayud Sánchez|30|-|€0
3269|Francisco Femenía Far|32|Spain|€2.00m
26744|Jorge López Marco|45|Spain|-
26698|Nilmar Honorato da Silva|39|Brazil|-
7141|Giuseppe Rossi|36|Italy|-
25984|Ángel Domingo López Ruano|42|Spain|-
11386|Santiago Cazorla González|39|Spain|€500k
20127|Carlos Marchena López|44|Spain|-
6997|Borja Valero Iglesias|38|Spain|-
20134|Joan Capdevila Méndez|45|Spain|-
20135|Marcos Antonio Senna da Silva|47|Spain|-
7063|Jefferson Antonio Montero Vite|34|Ecuador|€150k
25426|Marco Gastón Ruben Rodríguez|37|Argentina|-
26437|Albert Crusat Domene|41|Spain|-
25883|Juan Jesús Gutiérrez Robles|43|Spain|-
16688|Marcelo Andrés Silva Fernández|34|Uruguay|€300k
26495|Kalu Uche|41|Nigeria|-
26716|Braulio Nóbrega Rodríguez|38|Spain|-
26022|Carlos Andrés Diogo Enseñat|40|Uruguay|-
26715|Maurizio Lanzaro|41|Italy|-
26654|Matteo Contini|43|Italy|-
26484|Antonio Baltasar Doblas Santana|30|-|€0
23651|Ivan Obradović|35|Serbia|-
26655|Jirí Jarošík|46|Czech Republic|-
25922|Leonardo Daniel Ponzio|41|Argentina|-
26025|Jorge López Montaña|45|Spain|-
26714|Marco Jhonnier Pérez Murillo|33|Colombia|€300k
26713|Saïd Boutahar|41|Netherlands|-
3181|Lassana Diarra|38|France|-
3237|Sergio Leonel Agüero del Castillo|35|Argentina|-
23931|Francisco Mérida Pérez|33|Spain|€500k
26118|Antonio López Guerrero|42|Spain|-
26502|Paulo Assunção da Silva|43|Brazil|-
